,index,Latitude,LatitudeDir,Longitude,LongitudeDir,Altitude,Category
1082,4448,,,,,,
1083,4449,,,,,,
1084,4450,,,,,,
1085,4451,,,,,,
1086,4452,,,,,,
1087,4453,,,,,,
1088,4454,,,,,,
1089,4455,,,,,,
1090,4456,,,,,,
1091,4457,,,,,,
1092,4458,,,,,,
1093,4459,,,,,,
1094,4460,,,,,,
1095,4461,,,,,,
1096,4462,,,,,,
1097,4463,,,,,,
1098,4464,,,,,,
1099,4465,,,,,,
1100,4466,,,,,,
1101,4467,,,,,,
1102,4468,,,,,,
1103,4469,,,,,,
1104,4470,,,,,,
1105,4471,,,,,,
1106,4472,,,,,,
1107,4473,,,,,,
1108,4474,,,,,,
1109,4475,,,,,,
1110,4476,,,,,,
1111,4477,,,,,,
1112,4478,,,,,,
1113,4479,,,,,,
1114,4480,,,,,,
1115,4481,,,,,,
1116,4482,,,,,,
1117,4483,,,,,,
1118,4484,,,,,,
1119,4485,,,,,,
1120,4486,,,,,,
1121,4487,,,,,,
1122,4488,,,,,,
1123,4489,,,,,,
1124,4490,,,,,,
1125,4491,,,,,,
1126,4492,,,,,,
1127,4493,,,,,,
1128,4494,,,,,,
1129,4495,,,,,,
1130,4496,,,,,,
1131,4497,,,,,,
1132,4498,,,,,,
1133,4499,,,,,,
1134,4500,,,,,,
1135,4501,,,,,,
1136,4502,,,,,,
1137,4503,,,,,,
1138,4504,,,,,,
1139,4505,,,,,,
1140,4506,,,,,,
1141,4507,,,,,,
1142,4508,,,,,,
1143,4509,,,,,,
1144,4510,,,,,,
1145,4511,,,,,,
1146,4512,,,,,,
1147,4513,,,,,,
1148,4514,,,,,,
1149,4515,,,,,,
1150,4516,,,,,,
1151,4517,,,,,,
1152,4518,,,,,,
1153,4519,,,,,,
1154,4520,,,,,,
1155,4521,,,,,,
1156,4522,,,,,,
1157,4523,,,,,,
1158,4524,,,,,,
1159,4525,,,,,,
1160,4526,,,,,,
1161,4527,,,,,,
1162,4528,,,,,,
1163,4529,,,,,,
1164,4530,,,,,,
1165,4531,,,,,,
1166,4532,,,,,,
1167,4533,,,,,,
1168,4534,,,,,,
1169,4535,,,,,,
1170,4536,,,,,,
1171,4537,,,,,,
1172,4538,,,,,,
1173,4539,,,,,,
1174,4540,,,,,,
1175,4541,,,,,,
1176,4542,,,,,,
1177,4543,,,,,,
1178,4544,,,,,,
1179,4545,,,,,,
1180,4546,,,,,,
1181,4547,,,,,,
1182,4548,,,,,,
1183,4549,,,,,,
1184,4550,,,,,,
1185,4551,,,,,,
1186,4552,,,,,,
1187,4553,,,,,,
1188,4554,,,,,,
1189,4555,,,,,,
1190,4556,,,,,,
1191,4557,,,,,,
1192,4558,,,,,,
1193,4559,,,,,,
1194,4560,,,,,,
1195,4561,,,,,,
1196,4562,,,,,,
1197,4563,,,,,,
1198,4564,,,,,,
1199,4565,,,,,,
1200,4566,,,,,,
1201,4567,,,,,,
1202,4568,,,,,,
1203,4569,,,,,,
1204,4570,,,,,,
1205,4571,,,,,,
1206,4572,,,,,,
1207,4573,,,,,,
1208,4574,,,,,,
1209,4575,,,,,,
1210,4576,,,,,,
1211,4577,,,,,,
1212,4578,,,,,,
1213,4579,,,,,,
1214,4580,,,,,,
1215,4581,,,,,,
1216,4582,,,,,,
1217,4583,,,,,,
1218,4584,,,,,,
1219,4585,,,,,,
1220,4586,,,,,,
1221,4587,,,,,,
1222,4588,,,,,,
1223,4589,,,,,,
1224,4590,,,,,,
1225,4591,,,,,,
1226,4592,,,,,,
1227,4593,,,,,,
1228,4594,,,,,,
1229,4595,,,,,,
1230,4596,,,,,,
1231,4597,,,,,,
